[12/04/25, 11:57:31 AM] v anand salesman: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[12/04/25, 11:57:31 AM] v anand salesman: ‎‎‎v anand salesman uses a default timer for disappearing messages in new chats. ‎New messages will disappear from this chat ‎90 days after they're sent, except when kept. ‎Tap to set your own default timer.
‎[08/04/26, 12:10:25 PM] Bothra Sarees: ‎<attached: 00002427-PHOTO-2026-04-08-12-10-25.jpg>
‎[08/04/26, 12:15:34 PM] Bothra Sarees: ‎<attached: 00002428-PHOTO-2026-04-08-12-15-34.jpg>
‎[08/04/26, 12:15:56 PM] Bothra Sarees: ‎<attached: 00002429-PHOTO-2026-04-08-12-15-56.jpg>
‎[08/04/26, 12:16:04 PM] Bothra Sarees: ‎<attached: 00002430-PHOTO-2026-04-08-12-16-04.jpg>
‎[08/04/26, 12:16:16 PM] Bothra Sarees: ‎<attached: 00002431-PHOTO-2026-04-08-12-16-17.jpg>
‎[08/04/26, 12:16:26 PM] Bothra Sarees: ‎<attached: 00002432-PHOTO-2026-04-08-12-16-26.jpg>
‎[08/04/26, 12:16:45 PM] Bothra Sarees: ‎<attached: 00002433-PHOTO-2026-04-08-12-16-45.jpg>
‎[08/04/26, 12:17:01 PM] Bothra Sarees: ‎<attached: 00002434-PHOTO-2026-04-08-12-17-01.jpg>
[08/04/26, 12:18:52 PM] Bothra Sarees: ..
‎[08/04/26, 12:18:56 PM] Bothra Sarees: ‎<attached: 00002436-PHOTO-2026-04-08-12-18-56.jpg>
[08/04/26, 12:18:58 PM] Bothra Sarees: 388
‎[08/04/26, 12:19:37 PM] Bothra Sarees: ‎<attached: 00002438-PHOTO-2026-04-08-12-19-37.jpg>
‎[08/04/26, 12:19:51 PM] Bothra Sarees: ‎<attached: 00002439-PHOTO-2026-04-08-12-19-51.jpg>
‎[08/04/26, 12:20:16 PM] Bothra Sarees: ‎<attached: 00002440-PHOTO-2026-04-08-12-20-16.jpg>
‎[08/04/26, 12:22:07 PM] Bothra Sarees: ‎<attached: 00002441-PHOTO-2026-04-08-12-22-07.jpg>
‎[08/04/26, 12:22:07 PM] Bothra Sarees: ‎<attached: 00002442-PHOTO-2026-04-08-12-22-07.jpg>
‎[08/04/26, 12:22:07 PM] Bothra Sarees: ‎<attached: 00002443-PHOTO-2026-04-08-12-22-07.jpg>
‎[08/04/26, 12:22:07 PM] Bothra Sarees: ‎<attached: 00002444-PHOTO-2026-04-08-12-22-07.jpg>
‎[08/04/26, 12:22:07 PM] Bothra Sarees: ‎<attached: 00002445-PHOTO-2026-04-08-12-22-07.jpg>
‎[08/04/26, 12:22:07 PM] Bothra Sarees: ‎<attached: 00002446-PHOTO-2026-04-08-12-22-07.jpg>
‎[08/04/26, 12:22:07 PM] Bothra Sarees: ‎<attached: 00002447-PHOTO-2026-04-08-12-22-07.jpg>
[08/04/26, 12:41:44 PM] v anand salesman: 12set
[08/04/26, 12:41:57 PM] v anand salesman: 8set
[08/04/26, 12:42:12 PM] v anand salesman: 6set
‎[08/04/26, 12:43:21 PM] Bothra Sarees: ‎<attached: 00002451-PHOTO-2026-04-08-12-43-21.jpg>
‎[09/04/26, 10:58:01 AM] Bothra Sarees: ‎<attached: 00002452-PHOTO-2026-04-09-10-58-01.jpg>
‎[09/04/26, 10:58:01 AM] Bothra Sarees: ‎<attached: 00002453-PHOTO-2026-04-09-10-58-01.jpg>
‎[09/04/26, 10:58:01 AM] Bothra Sarees: ‎<attached: 00002454-PHOTO-2026-04-09-10-58-01.jpg>
[09/04/26, 10:58:01 AM] Bothra Sarees: tulsi
[09/04/26, 10:58:19 AM] Bothra Sarees: 170 ‎<This message was edited>
‎[09/04/26, 12:20:38 PM] Bothra Sarees: ‎<attached: 00002457-PHOTO-2026-04-09-12-20-38.jpg>
[09/04/26, 12:44:14 PM] v anand salesman: Konsi
[09/04/26, 12:59:00 PM] Bothra Sarees: radhaa
[09/04/26, 1:11:17 PM] v anand salesman: 2 parcel
‎[09/04/26, 4:12:14 PM] Bothra Sarees: ‎<attached: 00002461-PHOTO-2026-04-09-16-12-14.jpg>
‎[09/04/26, 4:12:32 PM] Bothra Sarees: ‎<attached: 00002462-PHOTO-2026-04-09-16-12-32.jpg>
[09/04/26, 4:44:11 PM] v anand salesman: Rate
[09/04/26, 4:56:08 PM] Bothra Sarees: 760
[09/04/26, 4:56:10 PM] Bothra Sarees: avg h
‎[09/04/26, 5:00:21 PM] Bothra Sarees: ‎<attached: 00002466-PHOTO-2026-04-09-17-00-21.jpg>
[09/04/26, 5:00:42 PM] Bothra Sarees: bhaiya ye concpet bgout quantity bik raha  1090
‎[09/04/26, 5:02:21 PM] Bothra Sarees: ‎<attached: 00002468-PHOTO-2026-04-09-17-02-21.jpg>
[09/04/26, 5:03:16 PM] v anand salesman: Ok
[09/04/26, 5:03:23 PM] Bothra Sarees: bhjo sir
‎[09/04/26, 5:11:44 PM] Bothra Sarees: ‎<attached: 00002471-PHOTO-2026-04-09-17-11-44.jpg>
[09/04/26, 5:11:50 PM] Bothra Sarees: 405
‎[09/04/26, 5:12:31 PM] Bothra Sarees: ‎<attached: 00002473-PHOTO-2026-04-09-17-12-31.jpg>
[09/04/26, 5:12:55 PM] Bothra Sarees: 730
‎[09/04/26, 5:19:28 PM] Bothra Sarees: ‎<attached: 00002475-PHOTO-2026-04-09-17-19-28.jpg>
[09/04/26, 5:19:46 PM] Bothra Sarees: 375
‎[09/04/26, 5:20:33 PM] Bothra Sarees: ‎<attached: 00002477-PHOTO-2026-04-09-17-20-33.jpg>
[09/04/26, 5:20:37 PM] Bothra Sarees: 405
‎[09/04/26, 5:22:25 PM] Bothra Sarees: 535 ‎<attached: 00002479-PHOTO-2026-04-09-17-22-25.jpg>
‎[09/04/26, 5:22:36 PM] Bothra Sarees: 640 ‎<attached: 00002480-PHOTO-2026-04-09-17-22-36.jpg>
‎[09/04/26, 5:23:06 PM] Bothra Sarees: 500 ‎<attached: 00002481-PHOTO-2026-04-09-17-23-06.jpg>
‎[09/04/26, 6:00:58 PM] Bothra Sarees: ‎<attached: 00002482-PHOTO-2026-04-09-18-00-58.jpg>
‎[09/04/26, 6:01:19 PM] Bothra Sarees: ‎<attached: 00002483-PHOTO-2026-04-09-18-01-19.jpg>
‎[09/04/26, 6:01:19 PM] Bothra Sarees: ‎<attached: 00002484-PHOTO-2026-04-09-18-01-19.jpg>
‎[09/04/26, 6:01:19 PM] Bothra Sarees: ‎<attached: 00002485-PHOTO-2026-04-09-18-01-19.jpg>
‎[09/04/26, 6:01:19 PM] Bothra Sarees: ‎<attached: 00002486-PHOTO-2026-04-09-18-01-19.jpg>
‎[09/04/26, 6:01:19 PM] Bothra Sarees: ‎<attached: 00002487-PHOTO-2026-04-09-18-01-19.jpg>
‎[09/04/26, 6:01:19 PM] Bothra Sarees: ‎<attached: 00002488-PHOTO-2026-04-09-18-01-19.jpg>
‎[09/04/26, 6:01:19 PM] Bothra Sarees: ‎<attached: 00002489-PHOTO-2026-04-09-18-01-19.jpg>
‎[09/04/26, 6:01:19 PM] Bothra Sarees: ‎<attached: 00002490-PHOTO-2026-04-09-18-01-19.jpg>
‎[09/04/26, 6:07:51 PM] Bothra Sarees: ‎<attached: 00002491-PHOTO-2026-04-09-18-07-51.jpg>
‎[09/04/26, 6:07:51 PM] Bothra Sarees: ‎<attached: 00002492-PHOTO-2026-04-09-18-07-51.jpg>
‎[09/04/26, 6:07:51 PM] Bothra Sarees: ‎<attached: 00002493-PHOTO-2026-04-09-18-07-51.jpg>
‎[09/04/26, 6:07:51 PM] Bothra Sarees: ‎<attached: 00002494-PHOTO-2026-04-09-18-07-51.jpg>
‎[09/04/26, 6:07:51 PM] Bothra Sarees: ‎<attached: 00002495-PHOTO-2026-04-09-18-07-51.jpg>
‎[09/04/26, 6:07:51 PM] Bothra Sarees: ‎<attached: 00002496-PHOTO-2026-04-09-18-07-51.jpg>
‎[09/04/26, 6:07:51 PM] Bothra Sarees: ‎<attached: 00002497-PHOTO-2026-04-09-18-07-51.jpg>
‎[09/04/26, 6:21:01 PM] Bothra Sarees: ‎<attached: 00002498-PHOTO-2026-04-09-18-21-01.jpg>
‎[09/04/26, 6:21:01 PM] Bothra Sarees: ‎<attached: 00002499-PHOTO-2026-04-09-18-21-01.jpg>
‎[09/04/26, 6:21:01 PM] Bothra Sarees: ‎<attached: 00002500-PHOTO-2026-04-09-18-21-01.jpg>
‎[09/04/26, 6:21:01 PM] Bothra Sarees: ‎<attached: 00002501-PHOTO-2026-04-09-18-21-01.jpg>
‎[09/04/26, 6:21:01 PM] Bothra Sarees: ‎<attached: 00002502-PHOTO-2026-04-09-18-21-01.jpg>
‎[09/04/26, 6:21:01 PM] Bothra Sarees: ‎<attached: 00002503-PHOTO-2026-04-09-18-21-01.jpg>
[09/04/26, 6:28:42 PM] v anand salesman: Ye
[09/04/26, 6:28:47 PM] v anand salesman: Ye
[09/04/26, 6:29:01 PM] v anand salesman: Ye
[09/04/26, 6:32:15 PM] Bothra Sarees: kitna kitna
[10/04/26, 8:53:00 AM] v anand salesman: 3
‎[10/04/26, 11:55:10 AM] v anand salesman: ‎<attached: 00002509-PHOTO-2026-04-10-11-55-11.jpg>
[10/04/26, 12:10:01 PM] Bothra Sarees: nhii
‎[10/04/26, 4:41:20 PM] Bothra Sarees: ‎<attached: 00002511-PHOTO-2026-04-10-16-41-20.jpg>
‎[10/04/26, 4:41:20 PM] Bothra Sarees: ‎<attached: 00002512-PHOTO-2026-04-10-16-41-20.jpg>
‎[10/04/26, 4:41:20 PM] Bothra Sarees: ‎<attached: 00002513-PHOTO-2026-04-10-16-41-20.jpg>
‎[10/04/26, 4:41:20 PM] Bothra Sarees: ‎<attached: 00002514-PHOTO-2026-04-10-16-41-20.jpg>
‎[10/04/26, 4:41:20 PM] Bothra Sarees: ‎<attached: 00002515-PHOTO-2026-04-10-16-41-20.jpg>
‎[10/04/26, 4:41:20 PM] Bothra Sarees: ‎<attached: 00002516-PHOTO-2026-04-10-16-41-20.jpg>
‎[10/04/26, 4:41:20 PM] Bothra Sarees: ‎<attached: 00002517-PHOTO-2026-04-10-16-41-20.jpg>
‎[10/04/26, 4:41:20 PM] Bothra Sarees: ‎<attached: 00002518-PHOTO-2026-04-10-16-41-20.jpg>
‎[10/04/26, 4:41:20 PM] Bothra Sarees: ‎<attached: 00002519-PHOTO-2026-04-10-16-41-20.jpg>
[10/04/26, 4:41:20 PM] Bothra Sarees: 227
‎[10/04/26, 4:41:34 PM] Bothra Sarees: ‎<attached: 00002521-PHOTO-2026-04-10-16-41-34.jpg>
‎[10/04/26, 4:41:34 PM] Bothra Sarees: ‎<attached: 00002522-PHOTO-2026-04-10-16-41-34.jpg>
‎[10/04/26, 4:41:34 PM] Bothra Sarees: ‎<attached: 00002523-PHOTO-2026-04-10-16-41-34.jpg>
‎[10/04/26, 4:41:34 PM] Bothra Sarees: ‎<attached: 00002524-PHOTO-2026-04-10-16-41-34.jpg>
‎[10/04/26, 4:41:34 PM] Bothra Sarees: ‎<attached: 00002525-PHOTO-2026-04-10-16-41-34.jpg>
‎[10/04/26, 4:41:34 PM] Bothra Sarees: ‎<attached: 00002526-PHOTO-2026-04-10-16-41-34.jpg>
‎[10/04/26, 4:41:34 PM] Bothra Sarees: ‎<attached: 00002527-PHOTO-2026-04-10-16-41-34.jpg>
[10/04/26, 4:41:40 PM] Bothra Sarees: 197
[10/04/26, 5:39:16 PM] Bothra Sarees: ??????
‎[10/04/26, 5:58:55 PM] Bothra Sarees: 630 ‎<attached: 00002530-PHOTO-2026-04-10-17-58-55.jpg>
‎[10/04/26, 5:59:06 PM] Bothra Sarees: 425 ‎<attached: 00002531-PHOTO-2026-04-10-17-59-06.jpg>
‎[10/04/26, 5:59:12 PM] Bothra Sarees: 368 ‎<attached: 00002532-PHOTO-2026-04-10-17-59-12.jpg>
‎[10/04/26, 5:59:20 PM] Bothra Sarees: 425 ‎<attached: 00002533-PHOTO-2026-04-10-17-59-20.jpg>
‎[10/04/26, 5:59:26 PM] Bothra Sarees: 558 ‎<attached: 00002534-PHOTO-2026-04-10-17-59-26.jpg>
‎[10/04/26, 5:59:50 PM] Bothra Sarees: 578 ‎<attached: 00002535-PHOTO-2026-04-10-17-59-50.jpg>
‎[10/04/26, 6:00:02 PM] Bothra Sarees: 466 ‎<attached: 00002536-PHOTO-2026-04-10-18-00-02.jpg>
‎[10/04/26, 6:00:20 PM] Bothra Sarees: 363 ‎<attached: 00002537-PHOTO-2026-04-10-18-00-20.jpg>
‎[10/04/26, 6:00:54 PM] Bothra Sarees: 410 ‎<attached: 00002538-PHOTO-2026-04-10-18-00-54.jpg>
‎[10/04/26, 6:01:13 PM] Bothra Sarees: ‎<attached: 00002539-PHOTO-2026-04-10-18-01-13.jpg>
[10/04/26, 6:01:16 PM] Bothra Sarees: 578
‎[10/04/26, 6:01:43 PM] Bothra Sarees: 578 ‎<attached: 00002541-PHOTO-2026-04-10-18-01-43.jpg>
‎[10/04/26, 6:02:12 PM] Bothra Sarees: 760 ‎<attached: 00002542-PHOTO-2026-04-10-18-02-12.jpg>
‎[10/04/26, 6:02:41 PM] Bothra Sarees: 493 ‎<attached: 00002543-PHOTO-2026-04-10-18-02-41.jpg>
‎[10/04/26, 6:03:04 PM] Bothra Sarees: 567 ‎<attached: 00002544-PHOTO-2026-04-10-18-03-04.jpg>
‎[10/04/26, 6:03:51 PM] Bothra Sarees: 300 ‎<attached: 00002545-PHOTO-2026-04-10-18-03-51.jpg>
‎[10/04/26, 6:04:02 PM] Bothra Sarees: 388 ‎<attached: 00002546-PHOTO-2026-04-10-18-04-02.jpg>
‎[10/04/26, 6:04:14 PM] Bothra Sarees: 331 ‎<attached: 00002547-PHOTO-2026-04-10-18-04-14.jpg>
‎[10/04/26, 6:04:23 PM] Bothra Sarees: ‎<attached: 00002548-PHOTO-2026-04-10-18-04-23.jpg>
[10/04/26, 6:04:32 PM] Bothra Sarees: 384
‎[10/04/26, 6:04:47 PM] Bothra Sarees: 378 ‎<attached: 00002550-PHOTO-2026-04-10-18-04-47.jpg>
‎[10/04/26, 6:05:06 PM] Bothra Sarees: 378 ‎<attached: 00002551-PHOTO-2026-04-10-18-05-06.jpg>
‎[10/04/26, 6:05:32 PM] Bothra Sarees: ‎<attached: 00002552-PHOTO-2026-04-10-18-05-32.jpg>
[10/04/26, 6:07:46 PM] Bothra Sarees: maal
likha dijiyega bhaiya aage dikkt anaa strt hogyi h
[10/04/26, 6:29:41 PM] v anand salesman: Ye
‎[10/04/26, 6:29:54 PM] Bothra Sarees: ‎<attached: 00002555-PHOTO-2026-04-10-18-29-54.jpg>
[10/04/26, 6:29:58 PM] Bothra Sarees: ok
‎[10/04/26, 6:32:05 PM] Bothra Sarees: ‎<attached: 00002557-PHOTO-2026-04-10-18-32-05.jpg>
‎[10/04/26, 6:32:11 PM] Bothra Sarees: ‎<attached: 00002558-PHOTO-2026-04-10-18-32-11.jpg>
‎[10/04/26, 6:32:15 PM] Bothra Sarees: ‎<attached: 00002559-PHOTO-2026-04-10-18-32-15.jpg>
‎[10/04/26, 6:32:26 PM] Bothra Sarees: ‎<attached: 00002560-PHOTO-2026-04-10-18-32-26.jpg>
‎[10/04/26, 6:32:37 PM] Bothra Sarees: ‎<attached: 00002561-PHOTO-2026-04-10-18-32-37.jpg>
‎[10/04/26, 6:43:17 PM] Bothra Sarees: ‎<attached: 00002562-PHOTO-2026-04-10-18-43-17.jpg>
‎[10/04/26, 6:43:33 PM] Bothra Sarees: ‎<attached: 00002563-PHOTO-2026-04-10-18-43-33.jpg>
[10/04/26, 6:43:44 PM] Bothra Sarees: 193
‎[10/04/26, 6:57:20 PM] v anand salesman: ‎<attached: 00002565-PHOTO-2026-04-10-18-57-21.jpg>
[10/04/26, 7:00:57 PM] v anand salesman: 12set
‎[11/04/26, 11:23:36 AM] v anand salesman: ‎<attached: 00002567-PHOTO-2026-04-11-11-23-37.jpg>
‎[11/04/26, 11:23:37 AM] v anand salesman: ‎<attached: 00002568-PHOTO-2026-04-11-11-23-38.jpg>
[11/04/26, 11:23:43 AM] v anand salesman: 12set
[11/04/26, 11:35:23 AM] Bothra Sarees: ok
‎[12/04/26, 1:01:52 PM] v anand salesman: ‎<attached: 00002571-PHOTO-2026-04-12-13-01-53.jpg>
‎[12/04/26, 1:01:53 PM] v anand salesman: ‎<attached: 00002572-PHOTO-2026-04-12-13-01-54.jpg>
‎[12/04/26, 1:01:53 PM] v anand salesman: ‎<attached: 00002573-PHOTO-2026-04-12-13-01-54.jpg>
[12/04/26, 1:01:59 PM] v anand salesman: Ashwini
[12/04/26, 1:02:01 PM] Bothra Sarees: ok
[12/04/26, 1:02:04 PM] Bothra Sarees: kitnq kitna
[12/04/26, 1:02:20 PM] v anand salesman: 12
[12/04/26, 1:02:27 PM] Bothra Sarees: kal radha nikal gaye 2 parsal
[12/04/26, 1:02:33 PM] v anand salesman: Ok
‎[13/04/26, 6:28:01 PM] Bothra Sarees: ‎<attached: 00002580-PHOTO-2026-04-13-18-28-01.jpg>
‎[13/04/26, 6:28:06 PM] Bothra Sarees: ‎<attached: 00002581-PHOTO-2026-04-13-18-28-06.jpg>
‎[13/04/26, 6:28:11 PM] Bothra Sarees: ‎<attached: 00002582-PHOTO-2026-04-13-18-28-11.jpg>
‎[13/04/26, 6:28:21 PM] Bothra Sarees: ‎<attached: 00002583-PHOTO-2026-04-13-18-28-21.jpg>
‎[13/04/26, 6:28:56 PM] Bothra Sarees: ‎<attached: 00002584-PHOTO-2026-04-13-18-28-56.jpg>
‎[13/04/26, 6:29:04 PM] Bothra Sarees: ‎<attached: 00002585-PHOTO-2026-04-13-18-29-05.jpg>
‎[13/04/26, 6:29:08 PM] Bothra Sarees: ‎<attached: 00002586-PHOTO-2026-04-13-18-29-08.jpg>
‎[13/04/26, 6:29:12 PM] Bothra Sarees: ‎<attached: 00002587-PHOTO-2026-04-13-18-29-12.jpg>
‎[13/04/26, 6:32:32 PM] Bothra Sarees: ‎<attached: 00002588-PHOTO-2026-04-13-18-32-32.jpg>
[13/04/26, 6:32:54 PM] v anand salesman: 12set
‎[14/04/26, 4:25:18 PM] Bothra Sarees: ‎<attached: 00002590-PHOTO-2026-04-14-16-25-19.jpg>
‎[14/04/26, 4:25:18 PM] Bothra Sarees: ‎<attached: 00002591-PHOTO-2026-04-14-16-25-19.jpg>
‎[14/04/26, 4:25:19 PM] Bothra Sarees: ‎<attached: 00002592-PHOTO-2026-04-14-16-25-19.jpg>
‎[14/04/26, 4:25:19 PM] Bothra Sarees: ‎<attached: 00002593-PHOTO-2026-04-14-16-25-19.jpg>
‎[14/04/26, 4:27:16 PM] v anand salesman: ‎<attached: 00002594-PHOTO-2026-04-14-16-27-17.jpg>
‎[14/04/26, 4:27:19 PM] v anand salesman: ‎image omitted
‎[14/04/26, 4:37:04 PM] Bothra Sarees: ‎<attached: 00002596-AUDIO-2026-04-14-16-37-04.opus>
‎[14/04/26, 6:02:18 PM] v anand salesman: ‎<attached: 00002597-PHOTO-2026-04-14-18-02-19.jpg>
‎[14/04/26, 6:09:21 PM] Bothra Sarees: ‎<attached: 00002598-AUDIO-2026-04-14-18-09-21.opus>
[14/04/26, 11:12:22 PM] Bothra Sarees: hiii
[14/04/26, 11:12:28 PM] v anand salesman: Hello
‎[14/04/26, 11:14:56 PM] v anand salesman: ‎<attached: 00002601-PHOTO-2026-04-14-23-14-57.jpg>
‎[14/04/26, 11:14:57 PM] v anand salesman: ‎<attached: 00002602-PHOTO-2026-04-14-23-14-58.jpg>
‎[14/04/26, 11:14:57 PM] v anand salesman: ‎<attached: 00002603-PHOTO-2026-04-14-23-14-58.jpg>
[14/04/26, 11:24:07 PM] v anand salesman: 12 set
‎[14/04/26, 11:51:07 PM] v anand salesman: ‎<attached: 00002605-PHOTO-2026-04-14-23-51-08.jpg>
‎[14/04/26, 11:51:07 PM] v anand salesman: ‎<attached: 00002606-PHOTO-2026-04-14-23-51-08.jpg>
[14/04/26, 11:52:58 PM] Bothra Sarees: ok
[14/04/26, 11:53:48 PM] Bothra Sarees: prso
‎[14/04/26, 11:56:25 PM] Bothra Sarees: ‎<attached: 00002609-PHOTO-2026-04-14-23-56-25.jpg>
‎[14/04/26, 11:56:25 PM] Bothra Sarees: ‎<attached: 00002610-PHOTO-2026-04-14-23-56-25.jpg>
[14/04/26, 11:56:25 PM] Bothra Sarees: prso tak ye aayga
[14/04/26, 11:57:40 PM] Bothra Sarees: 445
‎[14/04/26, 11:58:34 PM] Bothra Sarees: 430 ‎<attached: 00002613-PHOTO-2026-04-14-23-58-34.jpg>
‎[14/04/26, 11:59:03 PM] Bothra Sarees: ‎<attached: 00002614-PHOTO-2026-04-14-23-59-03.jpg>
‎[14/04/26, 11:59:03 PM] Bothra Sarees: ‎<attached: 00002615-PHOTO-2026-04-14-23-59-03.jpg>
[14/04/26, 11:59:03 PM] Bothra Sarees: 615
‎[15/04/26, 11:08:56 AM] Bothra Sarees: ‎<attached: 00002617-PHOTO-2026-04-15-11-08-56.jpg>
[15/04/26, 11:10:37 AM] Bothra Sarees: kitna?
[15/04/26, 11:10:51 AM] v anand salesman: 12set kar dena
[15/04/26, 11:12:24 AM] Bothra Sarees: parcek lr rha hn
‎[15/04/26, 11:58:27 AM] Bothra Sarees: ‎<attached: 00002621-PHOTO-2026-04-15-11-58-27.jpg>
[15/04/26, 11:58:31 AM] Bothra Sarees: 565
‎[15/04/26, 12:31:12 PM] Bothra Sarees: ‎<attached: 00002623-PHOTO-2026-04-15-12-31-12.jpg>
[15/04/26, 12:31:12 PM] Bothra Sarees: 263
‎[15/04/26, 12:32:37 PM] Bothra Sarees: ‎<attached: 00002625-PHOTO-2026-04-15-12-32-37.jpg>
[15/04/26, 12:32:37 PM] Bothra Sarees: malvika 
‎[15/04/26, 12:34:02 PM] Bothra Sarees: ‎<attached: 00002627-PHOTO-2026-04-15-12-34-02.jpg>
[15/04/26, 12:34:02 PM] Bothra Sarees: 368
‎[15/04/26, 12:34:33 PM] Bothra Sarees: ‎<attached: 00002629-PHOTO-2026-04-15-12-34-33.jpg>
[15/04/26, 12:34:33 PM] Bothra Sarees: 384
‎[15/04/26, 12:34:51 PM] Bothra Sarees: ‎<attached: 00002631-PHOTO-2026-04-15-12-34-51.jpg>
[15/04/26, 12:34:51 PM] Bothra Sarees: 368
‎[15/04/26, 12:35:30 PM] Bothra Sarees: ‎<attached: 00002633-PHOTO-2026-04-15-12-35-30.jpg>
[15/04/26, 12:35:30 PM] Bothra Sarees: malvika
‎[15/04/26, 12:36:05 PM] Bothra Sarees: ‎<attached: 00002635-PHOTO-2026-04-15-12-36-05.jpg>
‎[15/04/26, 12:36:05 PM] Bothra Sarees: ‎<attached: 00002636-PHOTO-2026-04-15-12-36-05.jpg>
‎[15/04/26, 12:36:05 PM] Bothra Sarees: ‎<attached: 00002637-PHOTO-2026-04-15-12-36-05.jpg>
‎[15/04/26, 12:36:05 PM] Bothra Sarees: ‎<attached: 00002638-PHOTO-2026-04-15-12-36-05.jpg>
‎[15/04/26, 12:36:05 PM] Bothra Sarees: ‎<attached: 00002639-PHOTO-2026-04-15-12-36-05.jpg>
‎[15/04/26, 12:36:05 PM] Bothra Sarees: ‎<attached: 00002640-PHOTO-2026-04-15-12-36-05.jpg>
[15/04/26, 12:36:06 PM] Bothra Sarees: 388
‎[15/04/26, 12:36:28 PM] Bothra Sarees: ‎<attached: 00002642-PHOTO-2026-04-15-12-36-28.jpg>
[15/04/26, 12:36:28 PM] Bothra Sarees: 378
‎[15/04/26, 12:38:40 PM] Bothra Sarees: ‎<attached: 00002644-PHOTO-2026-04-15-12-38-40.jpg>
‎[15/04/26, 12:38:40 PM] Bothra Sarees: ‎<attached: 00002645-PHOTO-2026-04-15-12-38-40.jpg>
‎[15/04/26, 12:38:40 PM] Bothra Sarees: ‎<attached: 00002646-PHOTO-2026-04-15-12-38-40.jpg>
‎[15/04/26, 12:38:40 PM] Bothra Sarees: ‎<attached: 00002647-PHOTO-2026-04-15-12-38-40.jpg>
‎[15/04/26, 12:38:40 PM] Bothra Sarees: ‎<attached: 00002648-PHOTO-2026-04-15-12-38-40.jpg>
‎[15/04/26, 12:38:40 PM] Bothra Sarees: ‎<attached: 00002649-PHOTO-2026-04-15-12-38-40.jpg>
[15/04/26, 12:38:40 PM] Bothra Sarees: 326
‎[15/04/26, 12:39:02 PM] Bothra Sarees: ‎<attached: 00002651-PHOTO-2026-04-15-12-39-02.jpg>
[15/04/26, 12:39:02 PM] Bothra Sarees: 400
‎[15/04/26, 12:39:26 PM] Bothra Sarees: ‎<attached: 00002653-PHOTO-2026-04-15-12-39-26.jpg>
‎[15/04/26, 12:39:26 PM] Bothra Sarees: ‎<attached: 00002654-PHOTO-2026-04-15-12-39-26.jpg>
‎[15/04/26, 12:39:26 PM] Bothra Sarees: ‎<attached: 00002655-PHOTO-2026-04-15-12-39-26.jpg>
‎[15/04/26, 12:39:26 PM] Bothra Sarees: ‎<attached: 00002656-PHOTO-2026-04-15-12-39-26.jpg>
‎[15/04/26, 12:39:26 PM] Bothra Sarees: ‎<attached: 00002657-PHOTO-2026-04-15-12-39-26.jpg>
‎[15/04/26, 12:39:26 PM] Bothra Sarees: ‎<attached: 00002658-PHOTO-2026-04-15-12-39-26.jpg>
[15/04/26, 12:39:26 PM] Bothra Sarees: 363 
‎[15/04/26, 12:39:44 PM] Bothra Sarees: ‎<attached: 00002660-PHOTO-2026-04-15-12-39-44.jpg>
[15/04/26, 12:39:44 PM] Bothra Sarees: 300
‎[15/04/26, 12:39:55 PM] Bothra Sarees: ‎<attached: 00002662-PHOTO-2026-04-15-12-39-55.jpg>
[15/04/26, 12:39:55 PM] Bothra Sarees: 378
‎[15/04/26, 12:41:21 PM] Bothra Sarees: ‎<attached: 00002664-PHOTO-2026-04-15-12-41-21.jpg>
[15/04/26, 12:41:21 PM] Bothra Sarees: 378
‎[15/04/26, 12:41:57 PM] Bothra Sarees: ‎<attached: 00002666-PHOTO-2026-04-15-12-41-57.jpg>
[15/04/26, 12:41:58 PM] Bothra Sarees: 3663
‎[15/04/26, 12:44:49 PM] Bothra Sarees: ‎<attached: 00002668-PHOTO-2026-04-15-12-44-49.jpg>
[15/04/26, 12:44:49 PM] Bothra Sarees: veera
‎[15/04/26, 12:45:25 PM] Bothra Sarees: ‎<attached: 00002670-PHOTO-2026-04-15-12-45-25.jpg>
[15/04/26, 12:45:25 PM] Bothra Sarees: 421
[15/04/26, 12:45:26 PM] v anand salesman: Ye
[15/04/26, 12:45:37 PM] v anand salesman: 12set
[15/04/26, 12:46:15 PM] Bothra Sarees: full siroski work h
[15/04/26, 12:46:32 PM] v anand salesman: Ek
[15/04/26, 12:46:53 PM] Bothra Sarees: ye
[15/04/26, 12:46:59 PM] Bothra Sarees: ye
[15/04/26, 12:47:05 PM] Bothra Sarees: ye
‎[15/04/26, 12:47:15 PM] Bothra Sarees: ‎<attached: 00002679-AUDIO-2026-04-15-12-47-15.opus>
[15/04/26, 12:48:11 PM] v anand salesman: Ye kuch jada mehngi nai hai
[15/04/26, 12:48:55 PM] Bothra Sarees: 363
[15/04/26, 12:49:03 PM] Bothra Sarees: work h bhaiya
‎[15/04/26, 12:49:20 PM] Bothra Sarees: ‎<attached: 00002683-VIDEO-2026-04-15-12-49-20.mp4>
[15/04/26, 12:50:45 PM] Bothra Sarees: ?
[15/04/26, 12:51:33 PM] v anand salesman: Ye
[15/04/26, 12:52:05 PM] v anand salesman: Ye
[15/04/26, 12:52:17 PM] Bothra Sarees: ??
[15/04/26, 12:52:20 PM] v anand salesman: 12set
[15/04/26, 12:52:23 PM] Bothra Sarees: manvi ka kya hua ?
