[12/04/25, 11:57:31 AM] v anand salesman: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[12/04/25, 11:57:31 AM] v anand salesman: ‎‎‎v anand salesman uses a default timer for disappearing messages in new chats. ‎New messages will disappear from this chat ‎90 days after they're sent, except when kept. ‎Tap to set your own default timer.
[20/03/26, 9:22:58 PM] Bothra Sarees: aap th koi item chahiye th btana me set krke de dunga rahul raj ka bhi surat ke rate me hojyga
[20/03/26, 9:23:13 PM] v anand salesman: Ok
[20/03/26, 9:23:48 PM] v anand salesman: Aap se subha call karke baat kar lunga kya kya number set karna hai apne ko
[20/03/26, 9:23:57 PM] Bothra Sarees: okay sir
‎[21/03/26, 4:20:13 PM] v anand salesman: ‎<attached: 00001893-PHOTO-2026-03-21-16-20-14.jpg>
‎[21/03/26, 6:20:22 PM] Bothra Sarees: ‎<attached: 00001894-PHOTO-2026-03-21-18-20-22.jpg>
‎[21/03/26, 6:20:22 PM] Bothra Sarees: ‎<attached: 00001895-PHOTO-2026-03-21-18-20-22.jpg>
‎[21/03/26, 6:20:22 PM] Bothra Sarees: ‎<attached: 00001896-PHOTO-2026-03-21-18-20-22.jpg>
‎[21/03/26, 6:20:22 PM] Bothra Sarees: ‎<attached: 00001897-PHOTO-2026-03-21-18-20-22.jpg>
‎[21/03/26, 6:20:22 PM] Bothra Sarees: ‎<attached: 00001898-PHOTO-2026-03-21-18-20-22.jpg>
‎[21/03/26, 6:20:22 PM] Bothra Sarees: ‎<attached: 00001899-PHOTO-2026-03-21-18-20-22.jpg>
[21/03/26, 6:21:07 PM] Bothra Sarees: 161 pouxh
[21/03/26, 6:21:40 PM] v anand salesman: Ek parcel
‎[21/03/26, 6:21:56 PM] Bothra Sarees: ‎<attached: 00001902-PHOTO-2026-03-21-18-21-56.jpg>
‎[21/03/26, 6:21:56 PM] Bothra Sarees: ‎<attached: 00001903-PHOTO-2026-03-21-18-21-56.jpg>
‎[21/03/26, 6:21:56 PM] Bothra Sarees: ‎<attached: 00001904-PHOTO-2026-03-21-18-21-56.jpg>
